FNL_DESCR,DESCR,Block Offer,# Promos,Inc Sales,Inc GM ex SDM,FL_SALES,FL_MARGIN,Base Sales,RBT_SDM_CM,RBT_VEND,RBT_SDM_MPP,CSD,GM%,Sales Lift
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),3/$5.00 OR $2.99,1,84121,-830,109806,7590,25685,225,18609,0,-0.01,0.07,3.28
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),1.99,3,45393,91,80657,11898,35263,0,12617,0,0,0.15,1.29
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),2.49,1,27465,9256,60995,20799,33530,0,7930,0,0.34,0.34,0.82
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),1.79,4,85356,-9257,125191,4389,39834,0,22964,0,-0.11,0.04,2.14
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),1.99,2,97615,-3400,140041,11170,42426,0,22707,0,-0.03,0.08,2.3
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),4,1,37396,4935,75829,17458,38433,0,11296,0,0.13,0.23,0.97
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),2/$4.00 OR $2.49,17,55777,1979,99155,15234,37429,0,14486,0,0.04,0.15,1.49
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),2/$4.00 OR $2.79,1,35888,2253,70943,13861,35055,0,10843,0,0.06,0.2,1.02
CHOCOLATE BARS FAMILY,CADBURY FAMILY BARS (GRP C020),2/$5.00 OR $2.99,3,53453,4225,88900,15973,35447,0,8078,0,0.08,0.18,1.51
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),1.99,3,9541,-934,18324,1852,8783,109,2896,0,-0.1,0.1,1.09
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),2.49,1,3448,264,12013,2879,8565,0,1572,0,0.08,0.24,0.4
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),1.79,4,14420,-2696,21991,-178,7571,0,4073,0,-0.19,-0.01,1.9
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),1.99,2,17349,-1436,25451,1257,8101,0,4163,0,-0.08,0.05,2.14
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),4,1,8513,-1332,19253,1909,10740,0,2885,0,-0.16,0.1,0.79
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),2/$4.00 OR $2.49,17,11961,-668,22176,2273,8767,106,3246,0,-0.06,0.1,1.36
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),2/$4.00 OR $2.79,1,5203,-1182,13084,1401,7880,0,2008,0,-0.23,0.11,0.66
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),2/$5.00 OR $2.99,2,9571,668,18703,3521,9131,0,885,0,0.07,0.19,1.05
CHOCOLATE BARS FAMILY,CADBURY FAMILY CHOCOLATE BAR (GRP CI01),3/$5.00 OR $2.99,1,14715,-1894,22341,497,7626,0,3756,0,-0.13,0.02,1.93
CHOCOLATE BARS FAMILY,CADBURY SHARING CHOC BARS (GRP N156),3.99,1,17510,-2794,29402,952,11892,0,0,0,-0.16,0.03,1.47
CHOCOLATE BARS FAMILY,CREATION 200G CHOC BAR (GRP XG62),3.99,2,-3361,-1150,2067,344,5427,0,62,0,0.34,0.17,-0.62
CHOCOLATE BARS FAMILY,CREATION 200G CHOC BAR (GRP XG62),4.49,1,-3033,-1255,2766,341,5799,0,75,0,0.41,0.12,-0.52
CHOCOLATE BARS FAMILY,HERSHEY FAMILY BARS (GRP H037),1.99,1,7088,-3550,22587,1749,15499,0,0,0,-0.5,0.08,0.46
CHOCOLATE BARS FAMILY,HERSHEY FAMILY BARS (GRP H037),2/$4.00 OR $2.49,7,26076,-460,42917,5532,16841,0,6169,0,-0.02,0.13,1.55
CHOCOLATE BARS FAMILY,HERSHEY FAMILY BARS (GRP H037),2/$5.00 OR $2.99,5,20406,2001,36013,7368,15607,0,0,0,0.1,0.2,1.31
CHOCOLATE BARS FAMILY,HERSHEY KING SIZE CHOC BARS (GRP H366),3,1,2647,-1011,7169,402,4522,0,0,0,-0.38,0.06,0.59
CHOCOLATE BARS FAMILY,HERSHEY KING SIZE CHOC BARS (GRP H366),2/$3.00 OR $1.79,1,4261,-1064,9305,358,5044,0,0,0,-0.25,0.04,0.84
CHOCOLATE BARS FAMILY,HERSHEY KING SIZE CHOC BARS (GRP H366),2/$3.00 OR $1.99,1,4015,-696,8645,704,4630,0,0,0,-0.17,0.08,0.87
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),1.99,3,4816,-443,8736,768,3920,0,1386,0,-0.09,0.09,1.23
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),2.49,1,2432,262,6474,1533,4042,0,850,0,0.11,0.24,0.6
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),1.79,4,7912,-1481,12640,5,4728,0,2345,0,-0.19,0,1.67
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),1.99,2,8597,-885,13638,728,5041,0,2226,0,-0.1,0.05,1.71
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),4,1,2750,-340,6350,724,3600,0,939,0,-0.12,0.11,0.76
CHOCOLATE BARS FAMILY,JERSEY FAMILY BAR (GRP J278),2/$4.00 OR $2.49,17,5573,-205,10101,1069,3941,0,1477,0,-0.04,0.11,1.41
